p,r,mipo
3719,1,0:273 11:1 12:1 
3727,1,0:45 11:1 12:1 
3733,1,0:87 11:1 12:1 
3739,1,0:78 11:1 12:1 
3761,1,0:78 11:1 12:1 
3767,1,0:10 11:1 12:1 
3769,1,0:66 11:1 12:1 
3779,1,0:24 11:1 12:1 
3793,1,0:97 11:1 12:1 
3797,1,0:32 11:1 12:1 
3803,1,0:20 11:1 12:1 
3821,1,0:109 11:1 12:1 
3823,1,0:62 11:1 12:1 
3833,1,0:75 11:1 12:1 
3847,1,0:41 11:1 12:1 
3851,1,0:63 11:1 12:1 
3853,1,0:13 11:1 12:1 
3863,1,0:265 11:1 12:1 
3877,1,0:96 11:1 12:1 
3881,1,0:17 11:1 12:1 
3889,1,0:159 11:1 12:1 
3907,1,0:108 11:1 12:1 
3911,1,0:23 11:1 12:1 
3917,1,0:141 11:1 12:1 
3919,1,0:93 11:1 12:1 
3923,1,0:55 11:1 12:1 
3929,1,0:198 11:1 12:1 
3931,1,0:31 11:1 12:1 
3943,1,0:69 11:1 12:1 
3947,1,0:50 11:1 12:1 
3967,1,0:13 11:1 12:1 
3989,1,0:2 11:1 12:1 
4001,1,0:131 11:1 12:1 
4003,1,0:33 11:1 12:1 
4007,1,0:60 11:1 12:1 
4013,1,0:39 11:1 12:1 
4019,1,0:44 11:1 12:1 
4021,1,0:18 11:1 12:1 
4027,1,0:5 11:1 12:1 
4049,1,0:136 11:1 12:1 
4051,1,0:84 11:1 12:1 
4057,1,0:74 11:1 12:1 
4073,1,0:80 11:1 12:1 
4079,1,0:71 11:1 12:1 
4091,1,0:128 11:1 12:1 
4093,1,0:18 11:1 12:1 
4099,1,0:229 11:1 12:1 
4111,1,0:75 11:1 12:1 
4127,1,0:77 11:1 12:1 
4129,1,0:130 11:1 12:1 
4133,1,0:65 11:1 12:1 
4139,1,0:2 11:1 12:1 
4153,1,0:78 11:1 12:1 
4157,1,0:5 11:1 12:1 
4159,1,0:75 11:1 12:1 
4177,1,0:20 11:1 12:1 
4201,1,0:44 11:1 12:1 
4211,1,0:6 11:1 12:1 
4217,1,0:53 11:1 12:1 
4219,1,0:165 11:1 12:1 
4229,1,0:115 11:1 12:1 
4231,1,0:93 11:1 12:1 
4241,1,0:137 11:1 12:1 
4243,1,0:32 11:1 12:1 
4253,1,0:29 11:1 12:1 
4259,1,0:70 11:1 12:1 
4261,1,0:21 11:1 12:1 
4271,1,0:29 11:1 12:1 
4273,1,0:7 11:1 12:1 
4283,1,0:14 11:1 12:1 
4289,1,0:68 11:1 12:1 
4297,1,0:103 11:1 12:1 
4327,1,0:31 11:1 12:1 
4337,1,0:97 11:1 12:1 
4339,1,0:14 11:1 12:1 
4349,1,0:190 11:1 12:1 
4357,1,0:92 11:1 12:1 
4363,1,0:28 11:1 12:1 
4373,1,0:27 11:1 12:1 
4391,1,0:112 11:1 12:1 
4397,1,0:257 11:1 12:1 
4409,1,0:14 11:1 12:1 
4421,1,0:167 11:1 12:1 
4423,1,0:10 11:1 12:1 
4441,1,0:107 11:1 12:1 
4447,1,0:39 11:1 12:1 
4451,1,0:93 11:1 12:1 
4457,1,0:40 11:1 12:1 
4463,1,0:29 11:1 12:1 
4481,1,0:48 11:1 12:1 
4483,1,0:52 11:1 12:1 
4493,1,0:45 11:1 12:1 
4507,1,0:50 11:1 12:1 
4513,1,0:89 11:1 12:1 
4517,1,0:21 11:1 12:1 
4519,1,0:73 11:1 12:1 
4523,1,0:57 11:1 12:1 
4547,1,0:28 11:1 12:1 
4549,1,0:6 11:1 12:1 
4561,1,0:23 11:1 12:1 
4567,1,0:5 11:1 12:1 
4583,1,0:60 11:1 12:1 
4591,1,0:178 11:1 12:1 
4597,1,0:21 11:1 12:1 
4603,1,0:5 11:1 12:1 
4621,1,0:2 11:1 12:1 
4637,1,0:7 11:1 12:1 
4639,1,0:43 11:1 12:1 
4643,1,0:7 11:1 12:1 
4649,1,0:301 11:1 12:1 
4651,1,0:39 11:1 12:1 
4657,1,0:67 11:1 12:1 
4663,1,0:7 11:1 12:1 
4673,1,0:109 11:1 12:1 
4679,1,0:76 11:1 12:1 
4691,1,0:2 11:1 12:1 
4703,1,0:86 11:1 12:1 
4721,1,0:14 11:1 12:1 
4723,1,0:66 11:1 12:1 
4729,1,0:17 11:1 12:1 
4733,1,0:68 11:1 12:1 
4751,1,0:94 11:1 12:1 
4759,1,0:47 11:1 12:1 
4783,1,0:12 11:1 12:1 
4787,1,0:56 11:1 12:1 
4789,1,0:42 11:1 12:1 
4793,1,0:56 11:1 12:1 
4799,1,0:65 11:1 12:1 
4801,1,0:21 11:1 12:1 
4813,1,0:110 11:1 12:1 
4817,1,0:45 11:1 12:1 
4831,1,0:85 11:1 12:1 
4861,1,0:102 11:1 12:1 
4871,1,0:22 11:1 12:1 
4877,1,0:12 11:1 12:1 
4889,1,0:12 11:1 12:1 
4903,1,0:136 11:1 12:1 
4909,1,0:13 11:1 12:1 
4919,1,0:26 11:1 12:1 
4931,1,0:78 11:1 12:1 
4933,1,0:89 11:1 12:1 
4937,1,0:3 11:1 12:1 
4943,1,0:223 11:1 12:1 
4951,1,0:75 11:1 12:1 
4957,1,0:29 11:1 12:1 
4967,1,0:110 11:1 12:1 
4969,1,0:51 11:1 12:1 
4973,1,0:5 11:1 12:1 
4987,1,0:97 11:1 12:1 
4993,1,0:43 11:1 12:1 
4999,1,0:155 11:1 12:1 
5003,1,0:19 11:1 12:1 
5009,1,0:3 11:1 12:1 
5011,1,0:14 11:1 12:1 
5021,1,0:146 11:1 12:1 
5023,1,0:26 11:1 12:1 
5039,1,0:51 11:1 12:1 
5051,1,0:197 11:1 12:1 
5059,1,0:292 11:1 12:1 
5077,1,0:50 11:1 12:1 
5081,1,0:94 11:1 12:1 
5087,1,0:134 11:1 12:1 
5099,1,0:41 11:1 12:1 
5101,1,0:39 11:1 12:1 
5107,1,0:57 11:1 12:1 
5113,1,0:38 11:1 12:1 
5119,1,0:31 11:1 12:1 
5147,1,0:63 11:1 12:1 
5153,1,0:42 11:1 12:1 
5167,1,0:63 11:1 12:1 
5171,1,0:58 11:1 12:1 
5179,1,0:65 11:1 12:1 
5189,1,0:8 11:1 12:1 
5197,1,0:69 11:1 12:1 
5209,1,0:19 11:1 12:1 
5227,1,0:20 11:1 12:1 
5231,1,0:359 11:1 12:1 
5233,1,0:90 11:1 12:1 
5237,1,0:72 11:1 12:1 
5261,1,0:12 11:1 12:1 
5273,1,0:87 11:1 12:1 
5279,1,0:252 11:1 12:1 
5281,1,0:7 11:1 12:1 
5297,1,0:46 11:1 12:1 
