p,	n,	poly
347,	22,	x^22 + x^21 + 57
347,	23,	x^23 + x^22 + 33
347,	24,	x^24 + x^23 + 17
347,	25,	x^25 + x^24 + 40
347,	26,	x^26 + x^25 + 62
347,	27,	x^27 + x^26 + 201
349,	2,	x^2 + x + 2
349,	3,	x^3 + x^2 + 2
349,	4,	x^4 + x^3 + 13
349,	5,	x^5 + x^4 + 18
349,	6,	x^6 + x^5 + 13
349,	7,	x^7 + x^6 + 34
349,	8,	x^8 + x^7 + 30
349,	9,	x^9 + x^8 + 34
349,	10,	x^10 + x^9 + 30
349,	11,	x^11 + x^10 + 173
349,	12,	x^12 + x^11 + 2
349,	13,	x^13 + x^12 + 40
349,	14,	x^14 + x^13 + 54
349,	15,	x^15 + x^14 + 165
349,	16,	x^16 + x^15 + 129
349,	17,	x^17 + x^16 + 96
349,	18,	x^18 + x^17 + 342
349,	19,	x^19 + x^18 + 43
349,	20,	x^20 + x^19 + 44
349,	21,	x^21 + x^20 + 209
349,	22,	x^22 + x^21 + 74
349,	23,	x^23 + x^22 + 74
349,	24,	x^24 + x^23 + 30
349,	25,	x^25 + x^24 + 2
349,	26,	x^26 + x^25 + 59
349,	27,	x^27 + x^26 + 107
353,	2,	x^2 + x + 13
353,	3,	x^3 + x^2 + 3
353,	4,	x^4 + x^3 + 13
353,	5,	x^5 + x^4 + 13
353,	6,	x^6 + x^5 + 12
353,	7,	x^7 + x^6 + 14
353,	8,	x^8 + x^7 + 27
353,	9,	x^9 + x^8 + 3
353,	10,	x^10 + x^9 + 3
353,	11,	x^11 + x^10 + 3
353,	12,	x^12 + x^11 + 104
353,	13,	x^13 + x^12 + 24
353,	14,	x^14 + x^13 + 12
353,	15,	x^15 + x^14 + 54
353,	16,	x^16 + x^15 + 87
353,	17,	x^17 + x^16 + 66
353,	18,	x^18 + x^17 + 20
353,	19,	x^19 + x^18 + 31
353,	20,	x^20 + x^19 + 147
353,	21,	x^21 + x^20 + 96
353,	22,	x^22 + x^21 + 31
353,	23,	x^23 + x^22 + 12
353,	24,	x^24 + x^23 + 132
353,	25,	x^25 + x^24 + 62
353,	26,	x^26 + x^25 + 12
353,	27,	x^27 + x^26 + 24
359,	2,	x^2 + x + 7
359,	3,	x^3 + x^2 + 2
359,	4,	x^4 + x^3 + 7
359,	5,	x^5 + x^4 + 4
359,	6,	x^6 + x^5 + 26
359,	7,	x^7 + x^6 + 6
359,	8,	x^8 + x^7 + 53
359,	9,	x^9 + x^8 + 12
359,	10,	x^10 + x^9 + 14
359,	11,	x^11 + x^10 + 36
359,	12,	x^12 + x^11 + 62
359,	13,	x^13 + x^12 + 12
359,	14,	x^14 + x^13 + 86
359,	15,	x^15 + x^14 + 4
359,	16,	x^16 + x^15 + 86
359,	17,	x^17 + x^16 + 110
359,	18,	x^18 + x^17 + 56
359,	19,	x^19 + x^18 + 11
359,	20,	x^20 + x^19 + 323
359,	21,	x^21 + x^20 + 72
359,	22,	x^22 + x^21 + 87
359,	23,	x^23 + x^22 + 33
359,	24,	x^24 + x^23 + 26
359,	25,	x^25 + x^24 + 22
359,	26,	x^26 + x^25 + 21
359,	27,	x^27 + x^26 + 88
367,	2,	x^2 + x + 6
367,	3,	x^3 + x^2 + 26
367,	4,	x^4 + x^3 + 54
367,	5,	x^5 + x^4 + 18
367,	6,	x^6 + x^5 + 80
367,	7,	x^7 + x^6 + 4
367,	8,	x^8 + x^7 + 19
367,	9,	x^9 + x^8 + 30
367,	10,	x^10 + x^9 + 12
367,	11,	x^11 + x^10 + 23
367,	12,	x^12 + x^11 + 34
367,	13,	x^13 + x^12 + 26
367,	14,	x^14 + x^13 + 6
367,	15,	x^15 + x^14 + 18
367,	16,	x^16 + x^15 + 263
367,	17,	x^17 + x^16 + 18
367,	18,	x^18 + x^17 + 130
367,	19,	x^19 + x^18 + 28
367,	20,	x^20 + x^19 + 93
367,	21,	x^21 + x^20 + 60
367,	22,	x^22 + x^21 + 22
367,	23,	x^23 + x^22 + 102
367,	24,	x^24 + x^23 + 19
367,	25,	x^25 + x^24 + 345
367,	26,	x^26 + x^25 + 10
367,	27,	x^27 + x^26 + 2
373,	2,	x^2 + x + 6
373,	3,	x^3 + x^2 + 2
373,	4,	x^4 + x^3 + 42
373,	5,	x^5 + x^4 + 15
373,	6,	x^6 + x^5 + 11
373,	7,	x^7 + x^6 + 11
373,	8,	x^8 + x^7 + 2
373,	9,	x^9 + x^8 + 24
373,	10,	x^10 + x^9 + 61
373,	11,	x^11 + x^10 + 14
373,	12,	x^12 + x^11 + 131
373,	13,	x^13 + x^12 + 110
373,	14,	x^14 + x^13 + 47
373,	15,	x^15 + x^14 + 61
373,	16,	x^16 + x^15 + 53
373,	17,	x^17 + x^16 + 47
373,	18,	x^18 + x^17 + 255
373,	19,	x^19 + x^18 + 32
373,	20,	x^20 + x^19 + 6
373,	21,	x^21 + x^20 + 42
373,	22,	x^22 + x^21 + 211
373,	23,	x^23 + x^22 + 35
373,	24,	x^24 + x^23 + 32
373,	25,	x^25 + x^24 + 82
373,	26,	x^26 + x^25 + 135
373,	27,	x^27 + x^26 + 6
379,	2,	x^2 + x + 10
379,	3,	x^3 + x^2 + 16
379,	4,	x^4 + x^3 + 7
379,	5,	x^5 + x^4 + 58
379,	6,	x^6 + x^5 + 10
379,	7,	x^7 + x^6 + 9
379,	8,	x^8 + x^7 + 18
379,	9,	x^9 + x^8 + 58
379,	10,	x^10 + x^9 + 15
379,	11,	x^11 + x^10 + 9
379,	12,	x^12 + x^11 + 31
379,	13,	x^13 + x^12 + 21
379,	14,	x^14 + x^13 + 155
379,	15,	x^15 + x^14 + 22
379,	16,	x^16 + x^15 + 158
379,	17,	x^17 + x^16 + 16
379,	18,	x^18 + x^17 + 32
379,	19,	x^19 + x^18 + 118
379,	20,	x^20 + x^19 + 102
379,	21,	x^21 + x^20 + 173
379,	22,	x^22 + x^21 + 152
379,	23,	x^23 + x^22 + 45
379,	24,	x^24 + x^23 + 15
379,	25,	x^25 + x^24 + 127
379,	26,	x^26 + x^25 + 46
379,	27,	x^27 + x^26 + 34
383,	2,	x^2 + x + 5
383,	3,	x^3 + x^2 + 3
383,	4,	x^4 + x^3 + 15
383,	5,	x^5 + x^4 + 7
383,	6,	x^6 + x^5 + 30
383,	7,	x^7 + x^6 + 6
383,	8,	x^8 + x^7 + 5
383,	9,	x^9 + x^8 + 21
383,	10,	x^10 + x^9 + 20
383,	11,	x^11 + x^10 + 54
383,	12,	x^12 + x^11 + 78
383,	13,	x^13 + x^12 + 29
383,	14,	x^14 + x^13 + 53
383,	15,	x^15 + x^14 + 14
383,	16,	x^16 + x^15 + 22
383,	17,	x^17 + x^16 + 8
383,	18,	x^18 + x^17 + 20
383,	19,	x^19 + x^18 + 2
383,	20,	x^20 + x^19 + 47
383,	21,	x^21 + x^20 + 18
383,	22,	x^22 + x^21 + 99
383,	23,	x^23 + x^22 + 153
383,	24,	x^24 + x^23 + 89
383,	25,	x^25 + x^24 + 7
383,	26,	x^26 + x^25 + 236
383,	27,	x^27 + x^26 + 86
389,	2,	x^2 + x + 8
389,	3,	x^3 + x^2 + 10
389,	4,	x^4 + x^3 + 23
389,	5,	x^5 + x^4 + 18
389,	6,	x^6 + x^5 + 22
389,	7,	x^7 + x^6 + 32
389,	8,	x^8 + x^7 + 40
389,	9,	x^9 + x^8 + 22
389,	10,	x^10 + x^9 + 40
389,	11,	x^11 + x^10 + 12
389,	12,	x^12 + x^11 + 10
389,	13,	x^13 + x^12 + 128
389,	14,	x^14 + x^13 + 12
389,	15,	x^15 + x^14 + 8
389,	16,	x^16 + x^15 + 107
389,	17,	x^17 + x^16 + 8
389,	18,	x^18 + x^17 + x + 21
389,	19,	x^19 + x^18 + 3
389,	20,	x^20 + x^19 + 32
389,	21,	x^21 + x^20 + 101
389,	22,	x^22 + x^21 + 23
389,	23,	x^23 + x^22 + 14
389,	24,	x^24 + x^23 + 134
389,	25,	x^25 + x^24 + 26
389,	26,	x^26 + x^25 + 27
389,	27,	x^27 + x^26 + 226
397,	2,	x^2 + x + 13
397,	3,	x^3 + x^2 + 6
397,	4,	x^4 + x^3 + 7
397,	5,	x^5 + x^4 + 21
397,	6,	x^6 + x^5 + 22
397,	7,	x^7 + x^6 + 52
397,	8,	x^8 + x^7 + 5
397,	9,	x^9 + x^8 + 38
397,	10,	x^10 + x^9 + 13
397,	11,	x^11 + x^10 + 50
397,	12,	x^12 + x^11 + 77
397,	13,	x^13 + x^12 + 158
397,	14,	x^14 + x^13 + 24
397,	15,	x^15 + x^14 + 89
397,	16,	x^16 + x^15 + 13
397,	17,	x^17 + x^16 + 38
397,	18,	x^18 + x^17 + 59
397,	19,	x^19 + x^18 + 197
397,	20,	x^20 + x^19 + 21
397,	21,	x^21 + x^20 + 77
397,	22,	x^22 + x^21 + 52
397,	23,	x^23 + x^22 + 94
397,	24,	x^24 + x^23 + 165
397,	25,	x^25 + x^24 + 5
397,	26,	x^26 + x^25 + 51
401,	2,	x^2 + x + 17
401,	3,	x^3 + x^2 + 3
401,	4,	x^4 + x^3 + 12
401,	5,	x^5 + x^4 + 13
401,	6,	x^6 + x^5 + 34
401,	7,	x^7 + x^6 + 3
401,	8,	x^8 + x^7 + 13
401,	9,	x^9 + x^8 + 12
401,	10,	x^10 + x^9 + 27
401,	11,	x^11 + x^10 + 24
401,	12,	x^12 + x^11 + 13
401,	13,	x^13 + x^12 + 74
401,	14,	x^14 + x^13 + 31
401,	15,	x^15 + x^14 + 210
401,	16,	x^16 + x^15 + 27
401,	17,	x^17 + x^16 + 12
401,	18,	x^18 + x^17 + 59
401,	19,	x^19 + x^18 + 66
401,	20,	x^20 + x^19 + 165
401,	21,	x^21 + x^20 + 23
401,	22,	x^22 + x^21 + 61
401,	23,	x^23 + x^22 + 12
401,	24,	x^24 + x^23 + 347
401,	25,	x^25 + x^24 + 46
401,	26,	x^26 + x^25 + 132
409,	2,	x^2 + x + 22
409,	3,	x^3 + x^2 + 22
409,	4,	x^4 + x^3 + 28
409,	5,	x^5 + x^4 + 35
409,	6,	x^6 + x^5 + 67
409,	7,	x^7 + x^6 + 56
409,	8,	x^8 + x^7 + 42
409,	9,	x^9 + x^8 + 26
409,	10,	x^10 + x^9 + 57
409,	11,	x^11 + x^10 + 26
409,	12,	x^12 + x^11 + 22
409,	13,	x^13 + x^12 + 33
409,	14,	x^14 + x^13 + 127
409,	15,	x^15 + x^14 + 26
409,	16,	x^16 + x^15 + 67
409,	17,	x^17 + x^16 + 56
409,	18,	x^18 + x^17 + 177
409,	19,	x^19 + x^18 + 176
409,	20,	x^20 + x^19 + 347
409,	21,	x^21 + x^20 + 28
409,	22,	x^22 + x^21 + 208
409,	23,	x^23 + x^22 + 67
409,	24,	x^24 + x^23 + 176
409,	25,	x^25 + x^24 + 26
409,	26,	x^26 + x^25 + 293
419,	2,	x^2 + x + 2
419,	3,	x^3 + x^2 + 3
419,	4,	x^4 + x^3 + 10
419,	5,	x^5 + x^4 + 4
419,	6,	x^6 + x^5 + 2
419,	7,	x^7 + x^6 + 25
419,	8,	x^8 + x^7 + 10
419,	9,	x^9 + x^8 + 25
419,	10,	x^10 + x^9 + 57
419,	11,	x^11 + x^10 + 21
419,	12,	x^12 + x^11 + 58
419,	13,	x^13 + x^12 + 3
419,	14,	x^14 + x^13 + 6
419,	15,	x^15 + x^14 + 3
419,	16,	x^16 + x^15 + 54
419,	17,	x^17 + x^16 + 20
419,	18,	x^18 + x^17 + 155
419,	19,	x^19 + x^18 + 15
419,	20,	x^20 + x^19 + 50
419,	21,	x^21 + x^20 + 15
419,	22,	x^22 + x^21 + 10
419,	23,	x^23 + x^22 + 27
419,	24,	x^24 + x^23 + 82
419,	25,	x^25 + x^24 + 45
419,	26,	x^26 + x^25 + 234
421,	2,	x^2 + x + 18
421,	3,	x^3 + x^2 + 14
421,	4,	x^4 + x^3 + 54
421,	5,	x^5 + x^4 + 57
421,	6,	x^6 + x^5 + 41
421,	7,	x^7 + x^6 + 2
421,	8,	x^8 + x^7 + 2
421,	9,	x^9 + x^8 + 41
421,	10,	x^10 + x^9 + 145
421,	11,	x^11 + x^10 + 24
421,	12,	x^12 + x^11 + 88
421,	13,	x^13 + x^12 + 24
421,	14,	x^14 + x^13 + 168
421,	15,	x^15 + x^14 + 24
421,	16,	x^16 + x^15 + 71
421,	17,	x^17 + x^16 + 66
421,	18,	x^18 + x^17 + 117
421,	19,	x^19 + x^18 + 18
421,	20,	x^20 + x^19 + 338
421,	21,	x^21 + x^20 + 71
421,	22,	x^22 + x^21 + 227
421,	23,	x^23 + x^22 + 72
421,	24,	x^24 + x^23 + 150
421,	25,	x^25 + x^24 + 57
421,	26,	x^26 + x^25 + 71
431,	2,	x^2 + x + 7
431,	3,	x^3 + x^2 + 10
431,	4,	x^4 + x^3 + 42
431,	5,	x^5 + x^4 + 11
431,	6,	x^6 + x^5 + 56
431,	7,	x^7 + x^6 + 10
431,	8,	x^8 + x^7 + 67
431,	9,	x^9 + x^8 + 25
431,	10,	x^10 + x^9 + 51
431,	11,	x^11 + x^10 + 22
431,	12,	x^12 + x^11 + 84
431,	13,	x^13 + x^12 + 44
431,	14,	x^14 + x^13 + 13
431,	15,	x^15 + x^14 + 135
431,	16,	x^16 + x^15 + 167
431,	17,	x^17 + x^16 + 76
431,	18,	x^18 + x^17 + 13
431,	19,	x^19 + x^18 + 10
431,	20,	x^20 + x^19 + 14
431,	21,	x^21 + x^20 + 41
431,	22,	x^22 + x^21 + 7
431,	23,	x^23 + x^22 + 38
431,	24,	x^24 + x^23 + 7
431,	25,	x^25 + x^24 + 58
431,	26,	x^26 + x^25 + 127
433,	2,	x^2 + x + 5
433,	3,	x^3 + x^2 + 7
433,	4,	x^4 + x^3 + 30
433,	5,	x^5 + x^4 + 10
433,	6,	x^6 + x^5 + 5
433,	7,	x^7 + x^6 + 20
433,	8,	x^8 + x^7 + 15
433,	9,	x^9 + x^8 + 10
433,	10,	x^10 + x^9 + 58
433,	11,	x^11 + x^10 + 29
433,	12,	x^12 + x^11 + 83
433,	13,	x^13 + x^12 + 28
433,	14,	x^14 + x^13 + 62
433,	15,	x^15 + x^14 + 40
433,	16,	x^16 + x^15 + 7
433,	17,	x^17 + x^16 + 7
433,	18,	x^18 + x^17 + 28
433,	19,	x^19 + x^18 + 60
433,	20,	x^20 + x^19 + 284
433,	21,	x^21 + x^20 + 10
433,	22,	x^22 + x^21 + 113
433,	23,	x^23 + x^22 + 55
433,	24,	x^24 + x^23 + 116
433,	25,	x^25 + x^24 + 174
433,	26,	x^26 + x^25 + 46
439,	2,	x^2 + x + 23
439,	3,	x^3 + x^2 + 25
439,	4,	x^4 + x^3 + 15
439,	5,	x^5 + x^4 + 22
439,	6,	x^6 + x^5 + 43
439,	7,	x^7 + x^6 + 38
439,	8,	x^8 + x^7 + 30
439,	9,	x^9 + x^8 + 19
439,	10,	x^10 + x^9 + 31
439,	11,	x^11 + x^10 + 13
439,	12,	x^12 + x^11 + 68
439,	13,	x^13 + x^12 + 5
439,	14,	x^14 + x^13 + 37
439,	15,	x^15 + x^14 + 106
439,	16,	x^16 + x^15 + 60
439,	17,	x^17 + x^16 + 10
439,	18,	x^18 + x^17 + 107
439,	19,	x^19 + x^18 + 76
439,	20,	x^20 + x^19 + 33
439,	21,	x^21 + x^20 + 45
439,	22,	x^22 + x^21 + 23
439,	23,	x^23 + x^22 + 52
439,	24,	x^24 + x^23 + 97
439,	25,	x^25 + x^24 + 304
439,	26,	x^26 + x^25 + 59
443,	2,	x^2 + x + 7
443,	3,	x^3 + x^2 + 12
443,	4,	x^4 + x^3 + 23
443,	5,	x^5 + x^4 + 81
443,	6,	x^6 + x^5 + 11
443,	7,	x^7 + x^6 + 22
443,	8,	x^8 + x^7 + 29
443,	9,	x^9 + x^8 + 22
443,	10,	x^10 + x^9 + 57
443,	11,	x^11 + x^10 + 39
443,	12,	x^12 + x^11 + 135
443,	13,	x^13 + x^12 + 4
443,	14,	x^14 + x^13 + 85
443,	15,	x^15 + x^14 + 39
443,	16,	x^16 + x^15 + 26
443,	17,	x^17 + x^16 + 88
443,	18,	x^18 + x^17 + 2
443,	19,	x^19 + x^18 + 37
443,	20,	x^20 + x^19 + 241
443,	21,	x^21 + x^20 + 27
443,	22,	x^22 + x^21 + 179
443,	23,	x^23 + x^22 + 75
443,	24,	x^24 + x^23 + 44
443,	25,	x^25 + x^24 + 46
443,	26,	x^26 + x^25 + 70
449,	2,	x^2 + x + 12
449,	3,	x^3 + x^2 + 6
449,	4,	x^4 + x^3 + 31
449,	5,	x^5 + x^4 + 6
449,	6,	x^6 + x^5 + 15
449,	7,	x^7 + x^6 + 83
449,	8,	x^8 + x^7 + 31
449,	9,	x^9 + x^8 + 27
449,	10,	x^10 + x^9 + 139
449,	11,	x^11 + x^10 + 43
449,	12,	x^12 + x^11 + 138
449,	13,	x^13 + x^12 + 29
449,	14,	x^14 + x^13 + 6
449,	15,	x^15 + x^14 + 15
449,	16,	x^16 + x^15 + 183
449,	17,	x^17 + x^16 + 150
449,	18,	x^18 + x^17 + 21
449,	19,	x^19 + x^18 + 94
449,	20,	x^20 + x^19 + 139
449,	21,	x^21 + x^20 + 68
449,	22,	x^22 + x^21 + 13
449,	23,	x^23 + x^22 + 65
449,	24,	x^24 + x^23 + 17
449,	25,	x^25 + x^24 + 17
449,	26,	x^26 + x^25 + 153
457,	2,	x^2 + x + 15
457,	3,	x^3 + x^2 + 52
457,	4,	x^4 + x^3 + 35
457,	5,	x^5 + x^4 + 15
457,	6,	x^6 + x^5 + 53
457,	7,	x^7 + x^6 + 15
457,	8,	x^8 + x^7 + 31
457,	9,	x^9 + x^8 + 35
457,	10,	x^10 + x^9 + 62
457,	11,	x^11 + x^10 + 60
457,	12,	x^12 + x^11 + 31
457,	13,	x^13 + x^12 + 61
457,	14,	x^14 + x^13 + 89
457,	15,	x^15 + x^14 + 23
457,	16,	x^16 + x^15 + 156
457,	17,	x^17 + x^16 + 66
457,	18,	x^18 + x^17 + 103
457,	19,	x^19 + x^18 + 23
457,	20,	x^20 + x^19 + 13
457,	21,	x^21 + x^20 + 13
457,	22,	x^22 + x^21 + 30
457,	23,	x^23 + x^22 + 31
457,	24,	x^24 + x^23 + 23
457,	25,	x^25 + x^24 + 53
457,	26,	x^26 + x^25 + 26
461,	2,	x^2 + x + 2
461,	3,	x^3 + x^2 + 8
461,	4,	x^4 + x^3 + 18
461,	5,	x^5 + x^4 + 44
461,	6,	x^6 + x^5 + 8
461,	7,	x^7 + x^6 + 28
461,	8,	x^8 + x^7 + 83
461,	9,	x^9 + x^8 + 12
461,	10,	x^10 + x^9 + 27
461,	11,	x^11 + x^10 + 2
461,	12,	x^12 + x^11 + 78
461,	13,	x^13 + x^12 + 15
461,	14,	x^14 + x^13 + 79
461,	15,	x^15 + x^14 + 12
461,	16,	x^16 + x^15 + 257
461,	17,	x^17 + x^16 + 29
461,	18,	x^18 + x^17 + 79
461,	19,	x^19 + x^18 + 3
461,	20,	x^20 + x^19 + 174
461,	21,	x^21 + x^20 + 2
461,	22,	x^22 + 2*x^21 + 267
461,	23,	x^23 + x^22 + 29
461,	24,	x^24 + x^23 + 274
461,	25,	x^25 + x^24 + 214
461,	26,	x^26 + x^25 + 18
463,	2,	x^2 + x + 11
463,	3,	x^3 + x^2 + 25
463,	4,	x^4 + x^3 + 46
463,	5,	x^5 + x^4 + 31
463,	6,	x^6 + x^5 + 41
463,	7,	x^7 + x^6 + 2
463,	8,	x^8 + x^7 + 26
463,	9,	x^9 + x^8 + 9
463,	10,	x^10 + x^9 + 11
463,	11,	x^11 + x^10 + 9
463,	12,	x^12 + x^11 + 3
463,	13,	x^13 + x^12 + 72
463,	14,	x^14 + x^13 + 28
463,	15,	x^15 + x^14 + 9
463,	16,	x^16 + x^15 + 24
463,	17,	x^17 + x^16 + 60
463,	18,	x^18 + x^17 + 85
463,	19,	x^19 + x^18 + 69
463,	20,	x^20 + x^19 + 24
463,	21,	x^21 + x^20 + 9
463,	22,	x^22 + x^21 + 46
463,	23,	x^23 + x^22 + 452
463,	24,	x^24 + x^23 + 46
463,	25,	x^25 + x^24 + 32
463,	26,	x^26 + x^25 + 3
467,	2,	x^2 + x + 6
467,	3,	x^3 + x^2 + 3
467,	4,	x^4 + x^3 + 19
467,	5,	x^5 + x^4 + 4
467,	6,	x^6 + x^5 + 34
467,	7,	x^7 + x^6 + 4
467,	8,	x^8 + x^7 + 82
467,	9,	x^9 + x^8 + 7
467,	10,	x^10 + x^9 + 5
467,	11,	x^11 + x^10 + 17
467,	12,	x^12 + x^11 + 2
467,	13,	x^13 + x^12 + 3
467,	14,	x^14 + x^13 + 31
467,	15,	x^15 + x^14 + 16
467,	16,	x^16 + x^15 + 33
467,	17,	x^17 + x^16 + 27
467,	18,	x^18 + x^17 + 105
467,	19,	x^19 + x^18 + 22
467,	20,	x^20 + x^19 + 180
467,	21,	x^21 + x^20 + 22
467,	22,	x^22 + x^21 + 60
467,	23,	x^23 + x^22 + 17
467,	24,	x^24 + x^23 + 238
467,	25,	x^25 + x^24 + 21
467,	26,	x^26 + x^25 + 57
479,	2,	x^2 + x + 34
479,	3,	x^3 + x^2 + 2
479,	4,	x^4 + x^3 + 19
479,	5,	x^5 + x^4 + 4
479,	6,	x^6 + x^5 + 34
479,	7,	x^7 + x^6 + 2
479,	8,	x^8 + x^7 + 68
479,	9,	x^9 + x^8 + 4
479,	10,	x^10 + x^9 + 19
479,	11,	x^11 + x^10 + 15
479,	12,	x^12 + x^11 + 17
479,	13,	x^13 + x^12 + 25
479,	14,	x^14 + x^13 + 31
479,	15,	x^15 + x^14 + 7
479,	16,	x^16 + x^15 + 182
479,	17,	x^17 + x^16 + 69
479,	18,	x^18 + x^17 + 29
479,	19,	x^19 + x^18 + 24
479,	20,	x^20 + x^19 + 191
479,	21,	x^21 + x^20 + 10
479,	22,	x^22 + x^21 + 191
479,	23,	x^23 + x^22 + 40
479,	24,	x^24 + x^23 + 156
479,	25,	x^25 + x^24 + 120
479,	26,	x^26 + x^25 + 17
487,	2,	x^2 + x + 10
487,	3,	x^3 + x^2 + 15
487,	4,	x^4 + x^3 + 6
487,	5,	x^5 + x^4 + 15
487,	6,	x^6 + x^5 + 14
487,	7,	x^7 + x^6 + 31
487,	8,	x^8 + x^7 + 63
487,	9,	x^9 + x^8 + 9
487,	10,	x^10 + x^9 + 11
487,	11,	x^11 + x^10 + 15
487,	12,	x^12 + x^11 + 45
487,	13,	x^13 + x^12 + 15
487,	14,	x^14 + x^13 + 11
487,	15,	x^15 + x^14 + 33
487,	16,	x^16 + x^15 + 10
487,	17,	x^17 + x^16 + 16
487,	18,	x^18 + x^17 + 88
487,	19,	x^19 + x^18 + 4
487,	20,	x^20 + x^19 + 113
487,	21,	x^21 + x^20 + 21
487,	22,	x^22 + x^21 + 10
487,	23,	x^23 + x^22 + 137
487,	24,	x^24 + x^23 + 45
487,	25,	x^25 + x^24 + 53
487,	26,	x^26 + x^25 + 24
491,	2,	x^2 + x + 8
491,	3,	x^3 + x^2 + 11
491,	4,	x^4 + x^3 + 8
491,	5,	x^5 + x^4 + 4
491,	6,	x^6 + x^5 + 74
491,	7,	x^7 + x^6 + 5
491,	8,	x^8 + x^7 + 19
491,	9,	x^9 + x^8 + 36
491,	10,	x^10 + x^9 + 26
491,	11,	x^11 + x^10 + 107
491,	12,	x^12 + x^11 + 189
491,	13,	x^13 + x^12 + 4
491,	14,	x^14 + x^13 + 6
491,	15,	x^15 + x^14 + 106
491,	16,	x^16 + x^15 + 7
491,	17,	x^17 + x^16 + 5
491,	18,	x^18 + x^17 + 87
491,	19,	x^19 + x^18 + 55
491,	20,	x^20 + x^19 + 29
491,	21,	x^21 + x^20 + 31
491,	22,	x^22 + x^21 + 286
491,	23,	x^23 + x^22 + 16
491,	24,	x^24 + x^23 + 19
491,	25,	x^25 + x^24 + 134
491,	26,	x^26 + x^25 + 219
499,	2,	x^2 + x + 10
499,	3,	x^3 + x^2 + 21
499,	4,	x^4 + x^3 + 35
499,	5,	x^5 + x^4 + 46
499,	6,	x^6 + x^5 + 35
499,	7,	x^7 + x^6 + 20
499,	8,	x^8 + x^7 + 99
499,	9,	x^9 + x^8 + 30
499,	10,	x^10 + x^9 + 7
499,	11,	x^11 + x^10 + 25
499,	12,	x^12 + x^11 + 10
499,	13,	x^13 + x^12 + 38
499,	14,	x^14 + x^13 + 60
499,	15,	x^15 + x^14 + 14
499,	16,	x^16 + x^15 + 19
499,	17,	x^17 + x^16 + 73
499,	18,	x^18 + x^17 + 95
499,	19,	x^19 + x^18 + 5
499,	20,	x^20 + x^19 + 15
499,	21,	x^21 + x^20 + 267
499,	22,	x^22 + x^21 + 10
499,	23,	x^23 + x^22 + 14
499,	24,	x^24 + x^23 + 168
499,	25,	x^25 + x^24 + 69
503,	2,	x^2 + x + 19
503,	3,	x^3 + x^2 + 2
503,	4,	x^4 + x^3 + 5
503,	5,	x^5 + x^4 + 13
503,	6,	x^6 + x^5 + 31
503,	7,	x^7 + x^6 + 16
503,	8,	x^8 + x^7 + 34
503,	9,	x^9 + x^8 + 13
503,	10,	x^10 + x^9 + 51
503,	11,	x^11 + x^10 + 21
503,	12,	x^12 + x^11 + 65
503,	13,	x^13 + x^12 + 22
503,	14,	x^14 + x^13 + 82
503,	15,	x^15 + x^14 + 13
503,	16,	x^16 + x^15 + 45
503,	17,	x^17 + x^16 + 11
503,	18,	x^18 + x^17 + 62
503,	19,	x^19 + x^18 + 13
503,	20,	x^20 + x^19 + 272
503,	21,	x^21 + x^20 + 11
503,	22,	x^22 + x^21 + 195
503,	23,	x^23 + x^22 + 3
503,	24,	x^24 + x^23 + 41
503,	25,	x^25 + x^24 + 4
509,	2,	x^2 + x + 2
509,	3,	x^3 + x^2 + 2
509,	4,	x^4 + x^3 + 53
509,	5,	x^5 + x^4 + 2
509,	6,	x^6 + x^5 + 7
509,	7,	x^7 + x^6 + 2
509,	8,	x^8 + x^7 + 50
509,	9,	x^9 + x^8 + 7
509,	10,	x^10 + x^9 + 72
509,	11,	x^11 + x^10 + 3
509,	12,	x^12 + x^11 + 69
509,	13,	x^13 + x^12 + 13
509,	14,	x^14 + x^13 + 2
509,	15,	x^15 + x^14 + 12
509,	16,	x^16 + x^15 + 79
509,	17,	x^17 + x^16 + 27
509,	18,	x^18 + x^17 + 77
509,	19,	x^19 + x^18 + 165
509,	20,	x^20 + x^19 + 131
509,	21,	x^21 + x^20 + 3
509,	22,	x^22 + x^21 + 191
509,	23,	x^23 + x^22 + 233
509,	24,	x^24 + x^23 + 12
509,	25,	x^25 + x^24 + 18
521,	2,	x^2 + x + 6
521,	3,	x^3 + x^2 + 3
521,	4,	x^4 + x^3 + 6
521,	5,	x^5 + x^4 + 7
521,	6,	x^6 + x^5 + 23
521,	7,	x^7 + x^6 + 6
521,	8,	x^8 + x^7 + 7
521,	9,	x^9 + x^8 + 15
521,	10,	x^10 + x^9 + 66
521,	11,	x^11 + x^10 + 35
521,	12,	x^12 + x^11 + 95
521,	13,	x^13 + x^12 + 7
521,	14,	x^14 + x^13 + 78
521,	15,	x^15 + x^14 + 79
521,	16,	x^16 + x^15 + 23
521,	17,	x^17 + x^16 + 27
521,	18,	x^18 + x^17 + 269
521,	19,	x^19 + x^18 + 3
521,	20,	x^20 + x^19 + 163
521,	21,	x^21 + x^20 + 109
521,	22,	x^22 + x^21 + 163
521,	23,	x^23 + x^22 + 27
521,	24,	x^24 + x^23 + 139
521,	25,	x^25 + x^24 + 425
523,	2,	x^2 + x + 2
523,	3,	x^3 + x^2 + 36
523,	4,	x^4 + x^3 + 45
523,	5,	x^5 + x^4 + 25
523,	6,	x^6 + x^5 + 12
