p,	poly
2029,	x^14 + x^13 + 252
2039,	x^14 + x^13 + 56
2053,	x^14 + x^13 + 37
2063,	x^14 + x^13 + 5
2069,	x^14 + x^13 + 115
2081,	x^14 + x^13 + 42
2083,	x^14 + x^13 + 168
2087,	x^14 + x^13 + 73
2089,	x^14 + x^13 + 222
2099,	x^14 + x^13 + 76
2111,	x^14 + x^13 + 51
2113,	x^14 + x^13 + 231
2129,	x^14 + x^13 + 71
2131,	x^14 + x^13 + 60
2137,	x^14 + x^13 + 43
2141,	x^14 + x^13 + 55
2143,	x^14 + x^13 + 29
2153,	x^14 + x^13 + 35
2161,	x^14 + x^13 + 42
2179,	x^14 + x^13 + 28
2203,	x^14 + x^13 + 11
2207,	x^14 + x^13 + 58
2213,	x^14 + x^13 + 21
2221,	x^14 + x^13 + 10
2237,	x^14 + x^13 + 2
2239,	x^14 + x^13 + 60
2243,	x^14 + x^13 + 162
2251,	x^14 + x^13 + 28
2267,	x^14 + x^13 + 35
2269,	x^14 + x^13 + 41
2273,	x^14 + x^13 + 44
2281,	x^14 + x^13 + 123
2287,	x^14 + x^13 + 53
2293,	x^14 + x^13 + 41
2297,	x^14 + x^13 + 45
2309,	x^14 + x^13 + 31
2311,	x^14 + x^13 + 53
2333,	x^14 + x^13 + 35
2339,	x^14 + x^13 + 29
2341,	x^14 + x^13 + 10
2347,	x^14 + x^13 + 42
2351,	x^14 + x^13 + 82
2357,	x^14 + x^13 + 18
2371,	x^14 + x^13 + 75
2377,	x^14 + x^13 + 70
2381,	x^14 + x^13 + 18
2383,	x^14 + x^13 + 69
2389,	x^14 + x^13 + 2
2393,	x^14 + x^13 + 12
2399,	x^14 + x^13 + 13
2411,	x^14 + x^13 + 53
2417,	x^14 + x^13 + 96
2423,	x^14 + x^13 + 40
2437,	x^14 + x^13 + 73
2441,	x^14 + x^13 + 253
2447,	x^14 + x^13 + 20
2459,	x^14 + x^13 + 140
2467,	x^14 + x^13 + 79
2473,	x^14 + x^13 + 60
2477,	x^14 + x^13 + 45
2503,	x^14 + x^13 + 54
2521,	x^14 + x^13 + 17
2531,	x^14 + x^13 + 8
2539,	x^14 + x^13 + 2
2543,	x^14 + x^13 + 14
2549,	x^14 + x^13 + 27
2551,	x^14 + x^13 + 62
2557,	x^14 + x^13 + 104
2579,	x^14 + x^13 + 6
2591,	x^14 + x^13 + 19
2593,	x^14 + x^13 + 116
2609,	x^14 + x^13 + 39
2617,	x^14 + x^13 + 28
2621,	x^14 + x^13 + 41
2633,	x^14 + x^13 + 13
2647,	x^14 + x^13 + 40
2657,	x^14 + x^13 + 3
2659,	x^14 + x^13 + 3
2663,	x^14 + x^13 + 17
2671,	x^14 + x^13 + 15
2677,	x^14 + x^13 + 133
2683,	x^14 + x^13 + 22
2687,	x^14 + x^13 + 87
2689,	x^14 + x^13 + 39
2693,	x^14 + x^13 + 20
2699,	x^14 + x^13 + 2
2707,	x^14 + x^13 + 128
2711,	x^14 + x^13 + 105
2713,	x^14 + x^13 + 33
2719,	x^14 + x^13 + 12
2729,	x^14 + x^13 + 35
2731,	x^14 + x^13 + 107
2741,	x^14 + x^13 + 48
2749,	x^14 + x^13 + 17
2753,	x^14 + x^13 + 20
2767,	x^14 + x^13 + 40
2777,	x^14 + x^13 + 13
2789,	x^14 + x^13 + 176
2791,	x^14 + x^13 + 12
2797,	x^14 + x^13 + 201
2801,	x^14 + x^13 + 3
2803,	x^14 + x^13 + 11
2819,	x^14 + x^13 + 43
2833,	x^14 + x^13 + 42
2837,	x^14 + x^13 + 43
2843,	x^14 + x^13 + 5
2851,	x^14 + x^13 + 50
2857,	x^14 + x^13 + 137
2861,	x^14 + x^13 + 18
2879,	x^14 + x^13 + 56
2887,	x^14 + x^13 + 24
2897,	x^14 + x^13 + 143
2903,	x^14 + x^13 + 5
2909,	x^14 + x^13 + 128
2917,	x^14 + x^13 + 13
2927,	x^14 + x^13 + 39
2939,	x^14 + x^13 + 54
2953,	x^14 + x^13 + 79
2957,	x^14 + x^13 + 28
2963,	x^14 + x^13 + 470
2969,	x^14 + x^13 + 206
2971,	x^14 + x^13 + 71
2999,	x^14 + x^13 + 19
3001,	x^14 + x^13 + 29
3011,	x^14 + x^13 + 28
3019,	x^14 + x^13 + 12
3023,	x^14 + x^13 + 17
3037,	x^14 + x^13 + 95
3041,	x^14 + x^13 + 12
